FECHA,HORA,LATITUD,LONGITUD,ALTITUD,GPS,VELOCIDAD,RUMBO,BATERIA BACKUP (%),BATERIA PRINCIPAL (MV),MOTIVO,DATOS,RECORRIDO,GRABACION,PTA CABINA,PTA CARGA
2018-06-23,23:46:19,"9,991027","-84,233129",877,1,"0,00",54,91,12665,Por tiempo de lectura,Report ID: 1 - Report_Type: 0,13548300,2018-06-24 00:45:37,SI,SI
2018-06-23,23:46:00,"9,990939","-84,233189",873,1,"0,00",54,,0,Reset,GTDOG,13548300,2018-06-24 00:45:37,SI,SI
2018-06-23,23:26:02,"9,990939","-84,233189",873,1,"0,00",54,91,12667,Por tiempo de lectura,Report ID: 1 - Report_Type: 0,13548300,2018-06-24 00:45:37,SI,SI
2018-06-23,23:25:44,"9,991008","-84,233136",879,1,"0,00",54,,0,Reset,GTDOG,13548300,2018-06-24 00:45:37,SI,SI
2018-06-23,23:04:56,"9,991008","-84,233136",879,1,"0,00",54,91,12698,Por tiempo de lectura,Report ID: 1 - Report_Type: 0,13548300,2018-06-24 00:45:36,SI,SI
2018-06-23,23:04:37,"9,991042","-84,233115",875,1,"0,00",54,,0,Reset,GTDOG,13548300,2018-06-24 00:45:36,SI,SI
2018-06-23,22:44:38,"9,991042","-84,233115",875,1,"0,00",54,91,12692,Por tiempo de lectura,Report ID: 1 - Report_Type: 0,13548300,2018-06-24 00:45:36,SI,SI
2018-06-23,22:44:20,"9,991052","-84,233060",888,1,"0,00",54,,0,Reset,GTDOG,13548300,2018-06-24 00:45:36,SI,SI
2018-06-23,22:24:32,"9,991052","-84,233060",888,1,"0,00",54,91,12749,Por tiempo de lectura,Report ID: 1 - Report_Type: 0,13548300,2018-06-24 00:45:36,SI,SI
2018-06-23,22:24:03,"9,991007","-84,233221",853,1,"0,00",54,,0,Reset,GTDOG,13548300,2018-06-24 00:45:33,SI,SI
2018-06-23,21:44:54,"9,991007","-84,233221",853,1,"0,30",54,91,12735,Por tiempo de lectura,Report ID: 1 - Report_Type: 0,13548300,2018-06-23 21:49:00,SI,SI
2018-06-23,21:44:27,"9,991016","-84,233176",864,1,"0,00",54,,0,Reset,GTDOG,13548300,2018-06-24 00:45:33,SI,SI
2018-06-23,21:10:41,"9,991016","-84,233176",864,1,"0,00",54,91,12786,Por tiempo de lectura,Report ID: 1 - Report_Type: 0,13548300,2018-06-24 00:45:32,SI,SI
2018-06-23,21:10:23,"9,991027","-84,233137",876,1,"0,00",54,,0,Reset,GTDOG,13548300,2018-06-23 21:52:01,SI,SI
2018-06-23,20:41:15,"9,991027","-84,233137",876,1,"0,00",54,91,12836,Por tiempo de lectura,Report ID: 1 - Report_Type: 0,13548300,2018-06-23 21:52:00,SI,SI
2018-06-23,20:40:56,"9,990994","-84,233094",883,1,"0,00",54,,0,Reset,GTDOG,13548300,2018-06-23 21:51:56,SI,SI
2018-06-23,20:08:29,"9,990994","-84,233094",883,1,"0,00",54,91,12844,Por tiempo de lectura,Report ID: 1 - Report_Type: 0,13548300,2018-06-23 21:50:57,SI,SI
