employee_id,full_name,first_name,last_name,position_title,birth_Date,salary,education_level,marital_status,gender,management_role,pay_type,min_scale,max_scale,store_type,store_name,store_street_address,store_city,store_state,store_country
1,"Sheri Nowmer",Sheri,Nowmer,President,1961-08-26,80000.0000,"Graduate Degree",S,F,"Senior Management",Monthly,25000.0000,85000.0000,HeadQuarters,HQ,"1 Alameda Way",Alameda,CA,USA
2,"Derrick Whelply",Derrick,Whelply,"VP Country Manager",1915-07-03,40000.0000,"Graduate Degree",M,M,"Senior Management",Monthly,20000.0000,40000.0000,HeadQuarters,HQ,"1 Alameda Way",Alameda,CA,USA
4,"Michael Spence",Michael,Spence,"VP Country Manager",1969-06-20,40000.0000,"Graduate Degree",S,M,"Senior Management",Monthly,20000.0000,40000.0000,HeadQuarters,HQ,"1 Alameda Way",Alameda,CA,USA
5,"Maya Gutierrez",Maya,Gutierrez,"VP Country Manager",1951-05-10,35000.0000,"Bachelors Degree",M,F,"Senior Management",Monthly,20000.0000,40000.0000,HeadQuarters,HQ,"1 Alameda Way",Alameda,CA,USA
6,"Roberta Damstra",Roberta,Damstra,"VP Information Systems",1942-10-08,25000.0000,"Bachelors Degree",M,F,"Senior Management",Monthly,12500.0000,25000.0000,HeadQuarters,HQ,"1 Alameda Way",Alameda,CA,USA
7,"Rebecca Kanagaki",Rebecca,Kanagaki,"VP Human Resources",1949-03-27,15000.0000,"Bachelors Degree",M,F,"Senior Management",Monthly,10000.0000,20000.0000,HeadQuarters,HQ,"1 Alameda Way",Alameda,CA,USA
10,"Darren Stanz",Darren,Stanz,"VP Finance",1949-08-26,50000.0000,"Partial College",M,M,"Senior Management",Monthly,17000.0000,35000.0000,HeadQuarters,HQ,"1 Alameda Way",Alameda,CA,USA
20,"Beverly Baker",Beverly,Baker,"VP Country Manager",1974-04-16,30000.0000,"Bachelors Degree",M,F,"Senior Management",Monthly,20000.0000,40000.0000,HeadQuarters,HQ,"1 Alameda Way",Alameda,CA,USA
21,"Pedro Castillo",Pedro,Castillo,"VP Country Manager",1918-11-04,35000.0000,"Bachelors Degree",M,M,"Senior Management",Monthly,20000.0000,40000.0000,HeadQuarters,HQ,"1 Alameda Way",Alameda,CA,USA
22,"Laurie Borges",Laurie,Borges,"VP Country Manager",1947-10-07,35000.0000,"Bachelors Degree",M,F,"Senior Management",Monthly,20000.0000,40000.0000,HeadQuarters,HQ,"1 Alameda Way",Alameda,CA,USA
36,"Donna Arnold",Donna,Arnold,"HQ Marketing",1915-11-22,45000.0000,"Bachelors Degree",S,F,"Middle Management",Monthly,5000.0000,8500.0000,HeadQuarters,HQ,"1 Alameda Way",Alameda,CA,USA
37,"Jennifer Cooper",Jennifer,Cooper,"HQ Information Systems",1961-04-06,6700.0000,"Bachelors Degree",S,F,"Middle Management",Monthly,6700.0000,10000.0000,HeadQuarters,HQ,"1 Alameda Way",Alameda,CA,USA
38,"Peggy Petty",Peggy,Petty,"HQ Information Systems",1958-04-09,8000.0000,"High School Degree",M,F,"Middle Management",Monthly,6700.0000,10000.0000,HeadQuarters,HQ,"1 Alameda Way",Alameda,CA,USA
39,"Jessica Olguin",Jessica,Olguin,"HQ Information Systems",1959-01-23,10000.0000,"Bachelors Degree",S,F,"Middle Management",Monthly,6700.0000,10000.0000,HeadQuarters,HQ,"1 Alameda Way",Alameda,CA,USA
40,"Phyllis Burchett",Phyllis,Burchett,"HQ Information Systems",1926-10-27,10000.0000,"High School Degree",M,F,"Middle Management",Monthly,6700.0000,10000.0000,HeadQuarters,HQ,"1 Alameda Way",Alameda,CA,USA
41,"Howard Bechard",Howard,Bechard,"HQ Marketing",1919-04-19,8500.0000,"High School Degree",S,M,"Middle Management",Monthly,5000.0000,8500.0000,HeadQuarters,HQ,"1 Alameda Way",Alameda,CA,USA
42,"Doris Carter",Doris,Carter,"HQ Marketing",1965-03-27,5000.0000,"High School Degree",M,F,"Middle Management",Monthly,5000.0000,8500.0000,HeadQuarters,HQ,"1 Alameda Way",Alameda,CA,USA
43,"Juanita Sharp",Juanita,Sharp,"HQ Human Resources",1977-05-16,6700.0000,"Partial College",S,F,"Middle Management",Monthly,5000.0000,6700.0000,HeadQuarters,HQ,"1 Alameda Way",Alameda,CA,USA
44,"Sandra Brunner",Sandra,Brunner,"HQ Human Resources",1917-05-20,5000.0000,"Bachelors Degree",S,F,"Middle Management",Monthly,5000.0000,6700.0000,HeadQuarters,HQ,"1 Alameda Way",Alameda,CA,USA
45,"Ernest Staton",Ernest,Staton,"HQ Finance and Accounting",1916-08-09,6800.0000,"Graduate Degree",M,M,"Middle Management",Monthly,5000.0000,6700.0000,HeadQuarters,HQ,"1 Alameda Way",Alameda,CA,USA
46,"Rose Sims",Rose,Sims,"HQ Finance and Accounting",1916-08-09,6600.0000,"High School Degree",S,F,"Middle Management",Monthly,5000.0000,6700.0000,HeadQuarters,HQ,"1 Alameda Way",Alameda,CA,USA
47,"Lauretta De Carlo",Lauretta,"De Carlo","HQ Finance and Accounting",1916-08-09,6500.0000,"High School Degree",M,F,"Middle Management",Monthly,5000.0000,6700.0000,HeadQuarters,HQ,"1 Alameda Way",Alameda,CA,USA
48,"Mary Williams",Mary,Williams,"HQ Finance and Accounting",1916-08-09,7200.0000,"Partial College",M,F,"Middle Management",Monthly,5000.0000,6700.0000,HeadQuarters,HQ,"1 Alameda Way",Alameda,CA,USA
49,"Terri Burke",Terri,Burke,"HQ Finance and Accounting",1916-08-09,5000.0000,"Graduate Degree",S,F,"Middle Management",Monthly,5000.0000,6700.0000,HeadQuarters,HQ,"1 Alameda Way",Alameda,CA,USA
50,"Audrey Osborn",Audrey,Osborn,"HQ Finance and Accounting",1916-08-09,5000.0000,"Bachelors Degree",S,F,"Middle Management",Monthly,5000.0000,6700.0000,HeadQuarters,HQ,"1 Alameda Way",Alameda,CA,USA
51,"Brian Binai",Brian,Binai,"HQ Finance and Accounting",1916-08-09,5000.0000,"High School Degree",M,M,"Middle Management",Monthly,5000.0000,6700.0000,HeadQuarters,HQ,"1 Alameda Way",Alameda,CA,USA
52,"Concepcion Lozada",Concepcion,Lozada,"HQ Finance and Accounting",1916-08-09,5000.0000,"Partial College",M,F,"Middle Management",Monthly,5000.0000,6700.0000,HeadQuarters,HQ,"1 Alameda Way",Alameda,CA,USA
11,"Jonathan Murraiin",Jonathan,Murraiin,"Store Manager",1967-06-20,15000.0000,"Graduate Degree",S,M,"Store Management",Monthly,8500.0000,17000.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
821,"James Thompson",James,Thompson,"Store Assistant Manager",1932-12-24,13000.0000,"Partial College",M,F,"Store Management",Monthly,6700.0000,12500.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
822,"Rodney Gentry",Rodney,Gentry,"Store Shift Supervisor",1961-09-24,8900.0000,"Bachelors Degree",S,F,"Store Management",Monthly,6700.0000,8500.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
823,"Lillian Heckman",Lillian,Heckman,"Store Shift Supervisor",1961-09-24,8200.0000,"Partial High School",S,M,"Store Management",Monthly,6700.0000,8500.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
824,"Donald Reasoner",Donald,Reasoner,"Store Shift Supervisor",1961-09-24,7000.0000,"High School Degree",S,F,"Store Management",Monthly,6700.0000,8500.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
825,"Melissa Wheeler",Melissa,Wheeler,"Store Permanent Butcher",1960-12-10,8500.0000,"Graduate Degree",M,M,"Store Full Time Staf",Monthly,6700.0000,10000.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
826,"Samantha Weller",Samantha,Weller,"Store Permanent Butcher",1960-12-10,8500.0000,"Bachelors Degree",M,F,"Store Full Time Staf",Monthly,6700.0000,10000.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
827,"Ian Bloomberg",Ian,Bloomberg,"Store Information Systems",1942-06-01,9000.0000,"Partial College",M,M,"Store Full Time Staf",Monthly,6700.0000,10000.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
828,"Merav Netz",Merav,Netz,"Store Permanent Checker",1914-02-02,7000.0000,"Graduate Degree",M,F,"Store Full Time Staf",Monthly,5000.0000,9000.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
829,"Maria Green",Maria,Green,"Store Permanent Checker",1914-02-02,6800.0000,"High School Degree",S,F,"Store Full Time Staf",Monthly,5000.0000,9000.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
830,"Virginia Bobbitt",Virginia,Bobbitt,"Store Permanent Checker",1914-02-02,6700.0000,"Partial College",S,M,"Store Full Time Staf",Monthly,5000.0000,9000.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
831,"Stanley Boston",Stanley,Boston,"Store Permanent Checker",1914-02-02,8200.0000,"High School Degree",M,M,"Store Full Time Staf",Monthly,5000.0000,9000.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
832,"Matthew Barry",Matthew,Barry,"Store Permanent Checker",1914-02-02,7000.0000,"High School Degree",S,M,"Store Full Time Staf",Monthly,5000.0000,9000.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
833,"Scott Chang",Scott,Chang,"Store Permanent Checker",1914-02-02,6800.0000,"High School Degree",M,F,"Store Full Time Staf",Monthly,5000.0000,9000.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
834,"Melvin Carreras",Melvin,Carreras,"Store Permanent Checker",1914-02-02,6700.0000,"Bachelors Degree",M,M,"Store Full Time Staf",Monthly,5000.0000,9000.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
835,"Karlyn Burtis",Karlyn,Burtis,"Store Permanent Checker",1914-02-02,8200.0000,"High School Degree",M,M,"Store Full Time Staf",Monthly,5000.0000,9000.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
836,"Daniel Sanders",Daniel,Sanders,"Store Permanent Checker",1914-02-02,7000.0000,"High School Degree",S,M,"Store Full Time Staf",Monthly,5000.0000,9000.0000,Supermarket,"Store 1","2853 Bailey Rd",Acapulco,Guerrero,Mexico
